Supply_station,Sale_location,Postal_code,Municipality,Region,Type,Supertype,Sale_type,Quantity,Quantity_tons,Year,Use_category,Domestic_international,Comment,Ship_category,Use_category_eng,Population_region,Population_munic
Reykjavík,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,0,0,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,880
Reykjavík,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,33187,28.706755,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,880
Reykjavík,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Skipagasolía,Gasolía,Sala utan svæðis - flj.,2291394,1982.05581,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,880
Reykjavík,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Skipagasolía lituð,Gasolía,Sala utan svæðis - flj.,103856,89.83544,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,880
Söludælur,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,345512,298.86788,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,880
Söludælur,Grundarfjörður,350,Grundarfjarðarbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,114954,99.43521,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,880
Söludælur,Arnarstapi,355,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,5367,4.642455,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,1702
Söludælur,Arnarstapi,355,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,107997,93.417405,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,1702
Söludælur,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,41710,36.07915,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1702
Söludælur,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,28984,25.07116,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1702
Ólafsvík,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,214354,185.41620999999998,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1702
Reyðarfjörður,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,12571,10.873914999999998,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1702
Reykjavík,Arnarstapi,355,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,15621,13.512165,2011,Önnur notkun,Innanlands,NA,NA,Other uses,15369,1702
Reykjavík,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,53385,46.178025,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1702
Söludælur,Hellissandur,360,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala innan svæðis - flj.,50666,43.826089999999994,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1702
Ólafsvík,Hellissandur,360,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,3874,3.3510099999999996,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1702
Reykjavík,Hellissandur,360,Snæfellsbær,Vesturland,Gasolía lituð,Gasolía,Sala utan svæðis - flj.,371240,321.1226,2011,Skip og bátar,Innanlands,NA,Litlir bátar,Ships and boats,15369,1702
Ólafsvík,Arnarstapi,355,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala utan svæðis - flj.,503,0.43509499999999995,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Ólafsvík,Ólafsvík,355,Snæfellsbær,Vesturland,Gasolía,Gasolía,Sala innan svæðis - flj.,35019,30.291435,2011,Samgöngur á landi,Innanlands,NA,NA,Land transport,15369,1702
Ólafsvík,Ólafsvík,355,Snæfellsbær,Vesturland,Skipagasolía,Gasolía,Sala innan svæðis - flj.,102904,89.01195999999999,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1702
Ólafsvík,Ólafsvík,355,Snæfellsbær,Vesturland,Skipagasolía lituð,Gasolía,Sala innan svæðis - flj.,660600,571.419,2011,Skip og bátar,Innanlands,NA,Stærri skip,Ships and boats,15369,1702
